id,year,citation_cnt
102900334,2000,2431
479181932,2005,2974
136564729,2003,2460
4605405,2000,2147
63631664,2003,1981
86428311,2005,1878
118114556,2002,1851
404255657,2005,1342
55252181,2002,1285
310246789,2013,1149
415621268,2005,1047
296951475,2006,1028
40081616,2004,1020
444976436,2014,981
189149394,2006,969
137968899,2004,967
186243869,2008,907
290681252,2011,881
120108281,2004,772
150592498,2007,747
236012988,2001,746
447110853,2006,718
470227808,2003,712
376128768,2007,698
229829023,2008,688
78857194,2005,686
497679487,2002,626
459511288,2008,618
407596602,2005,608
83365417,2006,606
182274245,2003,593
231578433,2004,566
494830044,2008,559
468333598,2006,551
272498938,2007,531
311130842,2013,524
273667823,2005,503
471482877,2005,497
89706089,2005,493
337274133,2002,491
359865889,2009,484
331219670,2005,467
334958083,2005,431
486324502,2005,424
254411658,2004,419
38418210,2002,411
312081713,2006,406
411170524,2007,401
346244944,2001,393
95133017,2002,384
461051783,2014,383
192192186,2008,368
338666492,2004,367
456305501,2005,359
373035760,2008,358
248465257,2006,345
101610360,2001,344
1340729,2002,341
191101284,2012,333
31591574,2000,316
337442446,2010,313
460883773,2006,311
115563681,2006,308
147907286,2007,303
277115090,2013,293
191758657,2005,293
391053820,2009,293
495903404,2006,293
415461342,2002,292
473389243,2010,290
497082505,2003,286
160699376,2006,285
192535583,2003,283
465081054,2011,283
56907465,2007,282
81792829,2005,278
76835182,2014,275
403343751,2007,273
421852414,2006,271
39647229,2012,269
310208141,2001,268
180420253,2012,268
397745965,2008,265
360047656,2002,264
255011780,2006,260
446281052,2006,253
149007814,2011,252
68438327,2012,249
454982550,2001,248
2108192,2014,243
98766205,2011,242
497388514,2008,240
460628817,2016,239
184207521,2002,237
31176151,2004,236
267103099,2009,235
104156321,2004,233
107254558,2007,232
305730277,2004,231
67038768,2011,224
454052753,2010,224
5820239,2003,224
53670718,2009,223
5698900,2013,222
312823449,2008,219
427271449,2001,219
245958177,2008,218
421095260,2013,217
426997498,2003,216
324561953,2004,215
177426857,2005,214
150464310,2004,212
252198402,2002,212
84980064,2001,209
25288395,2015,209
117049102,2002,209
84727104,2001,207
345993473,2001,206
265796319,2004,204
438717149,2000,201
153630759,2004,200
172627286,2009,199
289133738,2011,199
484518042,2013,198
170326083,2011,198
454755249,2008,195
46197765,2011,195
260076336,2004,193
177969419,2003,193
77026552,2010,191
41471191,2008,189
407568936,2014,188
481070947,2005,187
106924298,2001,186
479097109,2009,185
39520290,2007,184
141039940,2007,183
171894896,2003,182
214436786,2003,182
329656614,2012,180
166849822,2005,179
142167190,2003,176
474192036,2007,176
159641121,2012,176
499281559,2010,176
145515002,2011,175
61660671,2005,175
64512543,2007,174
372303279,2006,173
368314164,2004,173
388856758,2002,173
147368654,2007,173
270669708,2011,173
126805248,2001,172
179955807,2006,171
232764045,2006,171
237046433,2011,171
250080040,2004,171
215816766,2003,170
6082339,2005,170
209466208,2007,170
417085093,2003,170
351398008,2008,169
157451603,2006,168
260720431,2005,167
228296231,2006,166
485565246,2008,165
263291180,2010,165
136790905,2005,165
291200,2003,165
245602104,2013,165
226464873,2011,163
256663810,2008,161
447013962,2008,161
411441188,2010,160
428688007,2011,159
360777067,2007,159
487109900,2000,157
277530123,2005,156
376054750,2005,156
150234126,2004,155
187254249,2006,155
388956950,2007,154
360412901,2006,153
48193553,2009,153
326947558,2012,153
327122080,2011,153
367971549,2013,153
300967388,2006,152
76490417,2004,152
412487540,2006,152
190729224,2011,151
16927024,2009,150
89583640,2013,149
378689928,2012,148
180505570,2004,148
344626704,2015,147
271444224,2008,146
494343724,2007,146
408737053,2001,146
226087329,2012,146
172848222,2015,145
312381002,2007,145
255652250,2007,144
365476643,2009,144
435376432,2006,143
385821906,2007,143
268443384,2001,143
438850436,2001,143
485010704,2013,142
206831792,2008,141
220913020,2006,141
21136903,2006,141
476539756,2007,140
333205618,2008,138
272009409,2006,138
333245840,2006,137
114968610,2004,137
317813040,2002,137
133099600,2007,135
369771921,2006,135
410092810,2005,135
427937613,2012,135
436017387,2006,134
336855465,2005,134
299769984,2007,132
54253662,2012,132
139376455,2008,132
15075083,2008,131
101094203,2005,131
58564231,2008,130
38651268,2002,130
98115859,2006,130
258636356,2006,129
40033892,2006,129
42311296,2011,129
286905050,2000,128
259480974,2010,127
294978373,2003,127
406348567,2013,126
16935619,2011,126
171601159,2008,126
494824332,2004,126
345534494,2008,125
293845440,2016,125
48201229,2001,125
189591620,2008,124
134950767,2005,124
121275544,2006,124
377399901,2002,124
246653206,2007,124
243921537,2001,123
280742365,2014,122
495787323,2003,122
79169017,2004,122
95544093,2001,121
493409170,2015,121
103395731,2002,120
147373086,2009,120
183994240,2011,120
57313262,2006,120
90495762,2001,119
219973243,2010,118
314204596,2003,118
186749944,2007,118
67778160,2012,118
345975091,2015,118
388306914,2011,117
424831708,2012,117
150060875,2007,117
378024197,2001,116
49235572,2002,116
373650519,2004,115
83346959,2008,115
109578209,2001,115
346304693,2013,115
197382906,2003,115
51773589,2004,114
375330949,2013,114
492819980,2005,113
18098344,2007,113
229620563,2007,113
250337354,2006,112
427245922,2009,111
180090891,2013,111
397547813,2004,110
300421003,2009,110
140947318,2004,110
306637194,2008,110
187205659,2005,110
67061825,2013,110
11617329,2003,109
328409685,2016,109
312520141,2008,109
246508554,2006,109
418918514,2002,109
200226074,2006,109
302701957,2001,108
371906899,2006,107
325055941,2003,106
459436273,2009,106
433902879,2010,106
33509452,2012,106
341896433,2013,106
333209785,2002,105
177330651,2005,104
49331608,2012,104
126662581,2007,104
966883,2001,104
399217917,2006,104
235935883,2002,103
410731829,2005,103
9530752,2007,103
99379995,2007,103
64714088,2003,102
63783041,2012,102
10762032,2014,101
199870320,2001,101
148091857,2006,101
412820114,2005,101
276246000,2008,100
341445841,2012,100
29445284,2005,100
131361735,2013,100
45638879,2010,99
428762025,2007,99
178706616,2009,97
51067767,2009,97
111850691,2004,97
347954972,2008,97
444687064,2011,97
48893207,2007,97
383357854,2003,97
419641481,2009,96
366352620,2004,96
155185629,2001,96
389926486,2013,96
370831889,2004,96
467390212,2001,95
226889545,2012,94
178906993,2007,94
496555550,2013,94
320540210,2005,94
87089720,2001,94
34472993,2016,94
264645672,2007,94
443438787,2007,93
182585726,2004,93
304951210,2006,93
247176708,2007,93
254058554,2009,93
37295862,2015,92
476422877,2011,92
255400608,2005,92
189656859,2005,92
105341003,2008,91
262241581,2007,91
167483991,2004,91
473434253,2015,91
231347157,2001,91
96913432,2013,91
251524412,2012,90
339721341,2010,90
124130187,2008,90
464238170,2014,90
323879735,2012,90
223839299,2005,90
319608646,2011,89
248916883,2012,89
383933023,2011,89
173062643,2012,89
375144024,2012,88
289241464,2013,88
389382839,2006,88
417314036,2004,88
307613560,2006,87
104057452,2010,87
313545119,2007,87
304586249,2007,87
363144209,2012,86
148584492,2013,86
30691635,2003,86
415313339,2013,85
290529976,2016,85
399507894,2009,85
1966441,2014,84
172149815,2014,84
221829555,2012,84
200001145,2009,84
386886802,2012,84
383293011,2003,84
90709577,2007,83
225432688,2012,83
445807901,2002,83
440847345,2010,83
30785155,2003,83
52025087,2014,83
480414114,2008,82
20485942,2003,82
134462866,2005,82
383455673,2014,82
23931706,2006,82
290841255,2013,81
481113852,2014,81
484254694,2008,81
1993860,2009,81
293368603,2009,81
111353985,2001,80
24971629,2001,80
5309498,2009,80
35542181,2009,80
176358987,2011,80
234425848,2002,80
204005254,2009,79
317695888,2008,79
430159234,2001,79
184496906,2012,79
10702482,2001,79
79516680,2006,79
400760494,2009,79
318476935,2014,79
497296124,2012,79
426094280,2012,78
229190058,2000,78
31206111,2002,78
324037580,2014,78
81712498,2011,78
418347921,2013,78
318242884,2005,78
479105355,2012,77
345757025,2012,77
56489962,2003,77
323472720,2014,77
317240603,2007,77
45724356,2009,77
436253092,2006,76
268166249,2013,76
133355418,2004,75
204521068,2006,75
415801250,2006,75
242321036,2015,75
162213990,2013,75
69239733,2014,75
453591211,2003,75
442427329,2001,75
225364984,2013,75
342900645,2001,74
291337323,2006,74
194819468,2012,74
55721983,2008,74
329755579,2006,74
195299671,2012,74
464245096,2013,74
249228272,2003,73
327591530,2010,73
147814442,2013,73
360907415,2006,73
87478423,2001,73
457008398,2004,73
157607732,2014,73
39269290,2005,73
399147123,2009,73
121177401,2007,73
359553712,2012,72
120315840,2010,72
124235376,2007,72
150715227,2003,72
216925603,2014,72
402162712,2008,72
281781703,2011,72
402694226,2013,72
129422164,2013,71
176464633,2007,71
123463180,2011,71
365714215,2010,71
186669119,2005,71
101405103,2012,70
31611387,2003,70
298958425,2012,70
378403054,2001,70
162859867,2007,70
142307321,2009,69
452127198,2014,69
272866918,2005,69
350316578,2007,69
13453672,2008,69
14293084,2003,69
142623139,2011,69
477395107,2005,69
161237388,2009,69
103812056,2005,68
75950892,2006,68
160479357,2006,68
366412043,2013,68
361822748,2007,68
292179278,2007,68
94864167,2004,68
39477218,2008,68
201174232,2009,67
352983195,2014,67
409959129,2015,67
379072751,2008,67
289321447,2007,67
358637227,2008,66
383431741,2005,66
458097258,2006,66
46947362,2008,66
12105891,2015,66
256888547,2006,66
482286918,2001,66
138340537,2016,66
149479577,2012,66
152315119,2009,66
255375716,2004,66
388842151,2015,66
63083145,2015,66
393755378,2003,66
418161967,2012,66
160667325,2001,66
335042807,2015,66
188204642,2009,66
187668326,2013,66
433684236,2012,65
459177085,2011,65
447288392,2014,65
218037243,2015,65
439960318,2002,65
421481658,2008,65
325453928,2006,64
495159656,2015,64
482372337,2014,64
46102906,2004,64
153682404,2014,64
164641703,2009,64
87459123,2006,64
105489009,2008,63
94022219,2016,63
118501743,2006,63
332290221,2013,63
443359010,2011,63
200112257,2012,63
81969890,2016,63
188766129,2014,63
38318698,2012,63
11147665,2012,63
402020048,2012,63
433747412,2007,62
154641627,2004,62
389700922,2011,62
282989924,2008,62
314023437,2009,62
383643762,2008,62
138694907,2008,62
77683507,2013,62
350514167,2003,62
310948178,2008,61
201206765,2001,61
129708233,2010,61
211653892,2010,61
319279817,2005,61
145996412,2007,61
35404206,2009,61
61265195,2011,61
259517415,2004,61
93994446,2008,61
168574202,2009,60
224936545,2005,60
444110175,2010,60
349882339,2013,60
321046997,2007,60
236069481,2004,60
12862965,2013,60
342615618,2012,59
36856217,2008,59
107872640,2010,59
258578543,2003,59
307506190,2011,59
144381211,2001,59
159912416,2010,59
195506336,2008,59
20124685,2011,59
279883737,2001,59
190517718,2013,58
254491106,2007,58
59589123,2009,58
450629801,2012,58
318354386,2002,58
345315187,2001,58
133573408,2002,58
388658796,2003,58
62570985,2013,58
456124235,2001,58
76428437,2010,57
391582500,2013,57
401183007,2011,57
103915631,2005,57
495141783,2006,57
442588724,2015,57
493164179,2006,57
54902412,2004,57
69081645,2004,57
306202215,2007,57
423720227,2005,56
210366025,2007,56
150434904,2015,56
72602719,2006,56
290871238,2008,56
404653728,2008,56
439660070,2014,55
498514934,2006,55
238756718,2002,55
35047811,2005,55
189925760,2010,55
471442980,2001,55
343739259,2011,55
243428103,2008,55
330657427,2012,55
47901019,2001,55
231039880,2008,55
489334957,2009,54
137308877,2002,54
18127141,2012,54
243110462,2004,54
158267416,2007,54
276352047,2009,54
267882643,2006,54
146808580,2015,54
366136038,2015,54
458469851,2005,54
280117387,2001,54
157828057,2001,53
350256293,2012,53
242855564,2012,53
237248515,2012,53
113488018,2011,53
432491809,2011,53
297746645,2002,53
377648788,2008,53
22355022,2013,53
326993358,2013,53
376392524,2010,52
239467543,2016,52
339574425,2011,52
306384238,2005,52
83706783,2002,52
320763620,2014,52
22376354,2003,52
5656286,2009,52
326512364,2013,52
318641605,2011,52
257071925,2013,52
244143460,2011,52
83756864,2006,51
36881961,2013,51
96065359,2004,51
311163344,2011,51
131095765,2013,51
346151785,2002,51
457962070,2011,51
168030209,2010,51
191238459,2003,51
181437408,2014,51
205407650,2008,51
2932318,2014,51
457071295,2003,51
163357808,2014,51
302995939,2007,50
272734433,2001,50
331902453,2008,50
43366738,2008,50
373194245,2002,50
352354540,2008,50
113558622,2006,50
454109744,2012,50
272833904,2014,50
324962433,2007,50
344286299,2012,50
108374880,2004,49
84473391,2009,49
156286014,2001,49
11752225,2014,49
84800031,2008,49
174198290,2014,49
83507808,2002,49
470194407,2016,49
91077782,2015,49
25384098,2011,49
457003728,2013,49
433588644,2004,48
205920464,2005,48
220659729,2013,48
323585597,2014,48
449750359,2013,48
444487656,2009,48
475662363,2011,48
277654854,2012,48
144850981,2011,48
168142548,2004,48
337215732,2006,48
447530075,2008,47
42609855,2001,47
460229845,2002,47
418167147,2003,47
353563571,2004,47
32628446,2003,47
435403887,2006,47
474632237,2016,47
55456500,2007,47
232974792,2009,47
326675350,2007,46
285543118,2015,46
490781551,2009,46
213119625,2008,46
113849436,2005,46
453911734,2011,46
467720976,2006,46
48250477,2006,46
9208281,2012,46
35287437,2002,46
61174537,2006,46
325388150,2004,46
222965509,2012,46
56363113,2005,46
103729280,2012,45
161059818,2013,45
471277243,2003,45
129626730,2016,45
40338681,2005,45
260086372,2016,45
270805767,2013,45
423619317,2005,45
248208246,2007,45
497594899,2013,45
168519534,2012,45
154035075,2015,45
287390785,2015,45
154972296,2014,45
179310003,2012,45
129245878,2003,44
314079812,2008,44
26737719,2011,44
203153089,2002,44
58647485,2001,44
152928993,2009,44
372620673,2012,44
209632668,2013,44
240070505,2011,44
107054912,2012,44
152256747,2016,44
182430040,2015,44
126926180,2010,43
326987500,2015,43
398159142,2002,43
337901486,2014,43
481822726,2011,43
378434142,2003,43
270283973,2006,43
300828478,2014,43
330034090,2008,43
499892556,2009,43
413805450,2011,43
130838599,2008,43
149924680,2013,42
117541255,2013,42
304759572,2012,42
80224071,2002,42
268658570,2001,42
261262328,2013,42
34985741,2011,42
99249579,2005,42
329561473,2009,42
43916257,2011,42
245573543,2016,42
444549029,2012,42
405630323,2014,42
9172762,2012,42
60012285,2015,42
367872120,2007,42
241272481,2017,42
98703870,2017,41
138595602,2013,41
456580114,2006,41
488903945,2015,41
159576314,2013,41
219065705,2011,41
285172532,2008,41
445678360,2005,41
338774020,2011,41
170184709,2006,41
256540243,2008,40
436532654,2015,40
90930486,2002,40
163800062,2012,40
127940087,2007,40
484620458,2002,40
291110958,2017,40
298424141,2011,40
302411876,2001,40
388271221,2014,40
488826018,2008,40
393906023,2008,40
417145506,2015,40
226569903,2008,40
346360990,2014,40
358004456,2015,40
250731213,2002,40
333135637,2011,40
390962333,2013,39
274562205,2015,39
410849946,2009,39
445687841,2012,39
327859063,2014,39
302907099,2014,39
323759359,2003,39
115519720,2006,39
67185823,2013,39
166178959,2001,39
69741493,2004,39
291695529,2001,39
191709375,2004,39
300614226,2006,39
5143321,2016,38
185392012,2016,38
23812089,2015,38
199130188,2009,38
114380556,2012,38
59324899,2013,38
499659085,2008,38
88127953,2005,38
447832771,2013,38
361165137,2011,38
10901561,2002,37
499513650,2007,37
439136828,2004,37
418206168,2001,37
433641251,2002,37
58026270,2002,37
499937319,2012,37
87510238,2009,37
341368806,2014,37
476812279,2008,37
356064335,2015,37
81390966,2010,37
72622937,2014,37
355795259,2008,37
218937657,2009,37
197720102,2006,36
8197984,2010,36
426403642,2013,36
137583702,2018,36
452433259,2014,36
1728828,2001,36
393440527,2004,36
252909970,2008,36
44926145,2002,36
478073582,2016,36
233796096,2010,35
212132684,2005,35
153650428,2015,35
130337270,2009,35
310927964,2002,35
42674388,2005,35
361581909,2008,35
84943529,2006,35
212660805,2001,35
383846633,2016,35
83823507,2014,35
115056404,2005,35
54852331,2006,35
178500544,2004,35
113777147,2012,34
450532049,2007,34
131619386,2011,34
341210375,2008,34
178368803,2001,34
120607451,2004,34
257228739,2001,34
82142723,2003,34
356847616,2005,34
297017971,2014,34
63769244,2002,34
375620340,2005,34
147401230,2011,34
191323491,2005,34
196399804,2006,34
93665184,2009,34
483279996,2012,34
192461697,2017,33
394323166,2006,33
46576835,2015,33
472996255,2007,33
396455293,2003,33
204392752,2004,33
489890036,2015,33
418464222,2013,33
175266575,2005,33
178376812,2002,33
100998620,2001,33
400559545,2014,33
80550163,2016,33
165366535,2015,33
88431534,2013,33
351499308,2014,33
17032804,2003,33
78552975,2016,33
15793520,2009,33
347919350,2012,33
481492790,2014,32
445802062,2004,32
121040260,2011,32
141259231,2013,32
471016079,2014,32
458633203,2008,32
239839975,2008,32
447731726,2015,32
89806039,2014,32
290986475,2014,32
122943068,2011,32
46443694,2014,32
170070664,2015,32
326609143,2015,32
76793964,2012,32
491158002,2007,32
8144693,2011,32
106442772,2008,32
451952344,2011,32
267834099,2013,32
249863808,2007,31
383770804,2011,31
63307244,2014,31
394860032,2006,31
164919149,2011,31
387284265,2003,31
252064233,2009,31
349893845,2003,31
49725149,2003,31
226860565,2016,31
103534249,2008,31
26948150,2013,31
467664725,2013,31
488755328,2006,31
61448768,2016,31
459447866,2015,31
260784837,2013,31
11569785,2012,31
175729553,2003,31
161712646,2009,31
259831249,2006,31
217340847,2013,31
115374160,2011,31
201768380,2015,31
111283769,2006,31
371862051,2011,31
451354456,2011,31
223565264,2008,31
107402029,2014,31
186077096,2007,30
357565355,2007,30
156053151,2016,30
124730438,2008,30
263151537,2011,30
499383494,2014,30
172751533,2008,30
423440477,2010,30
67462454,2012,30
242393965,2004,30
486479087,2018,30
84700912,2010,30
491192495,2006,30
280927081,2013,30
444923042,2008,30
96134226,2004,29
147218289,2013,29
318625359,2009,29
335338051,2007,29
469625488,2005,29
410651084,2011,29
457612656,2007,29
484673839,2003,29
472494711,2005,29
53708180,2010,29
132440920,2015,29
336524614,2010,29
281390301,2011,29
109834002,2008,29
428127263,2008,29
169874930,2005,29
135278701,2012,29
237749085,2012,29
33457316,2013,29
142665630,2007,29
29749010,2007,29
144424048,2001,29
8559044,2013,28
259045536,2009,28
191906351,2004,28
155599565,2008,28
295012423,2007,28
440828568,2015,28
173929972,2013,28
348656762,2013,28
109159138,2013,28
50008876,2017,28
326197346,2014,28
42388666,2012,28
115002807,2016,28
48058165,2012,28
158713159,2010,28
438016882,2005,28
416287345,2012,28
473272024,2015,28
81192835,2011,28
122560932,2003,28
455041013,2012,28
88506211,2015,28
70075737,2010,28
285130628,2008,28
77978249,2015,28
342170548,2011,28
105286453,2012,27
437142306,2007,27
304501547,2011,27
63600650,2007,27
182026145,2013,27
227765765,2002,27
481023461,2015,27
